TE,TI,TR,PID,DATA,HORA
24.830000,45.439453,45.000000,-100,20/3/2021, 21:24:26
24.840000,45.439453,45.000000,-100,20/3/2021, 21:24:27
24.850000,45.310547,45.000000,-100,20/3/2021, 21:24:28
24.850000,45.310547,45.000000,-100,20/3/2021, 21:24:29
24.850000,45.149414,55.000000,9,20/3/2021, 21:24:35
24.860001,44.247070,55.000000,-21,20/3/2021, 21:24:36
24.850000,44.247070,55.000000,-14,20/3/2021, 21:24:37
24.860001,43.860352,55.000000,0,20/3/2021, 21:24:38
24.850000,43.860352,55.000000,9,20/3/2021, 21:24:39
24.860001,43.892578,55.000000,20,20/3/2021, 21:24:40
24.870001,43.892578,55.000000,31,20/3/2021, 21:24:41
24.850000,43.505859,55.000000,46,20/3/2021, 21:24:42
24.860001,43.505859,55.000000,56,20/3/2021, 21:24:43
24.850000,42.796875,55.000000,75,20/3/2021, 21:24:44
24.860001,42.796875,55.000000,84,20/3/2021, 21:24:45
24.860001,42.764648,55.000000,96,20/3/2021, 21:24:46
24.850000,42.764648,55.000000,100,20/3/2021, 21:24:47
24.860001,42.829102,55.000000,100,20/3/2021, 21:24:48
24.850000,42.829102,55.000000,100,20/3/2021, 21:24:49
24.860001,42.700195,55.000000,100,20/3/2021, 21:24:52
24.870001,42.700195,55.000000,100,20/3/2021, 21:24:53
24.860001,44.472656,55.000000,100,20/3/2021, 21:24:54
24.860001,44.472656,55.000000,100,20/3/2021, 21:24:55
24.870001,44.698242,55.000000,100,20/3/2021, 21:24:56
24.860001,44.698242,55.000000,100,20/3/2021, 21:24:57
24.860001,43.409180,55.000000,100,20/3/2021, 21:24:58
24.870001,43.409180,55.000000,100,20/3/2021, 21:24:59
24.860001,44.214844,55.000000,100,20/3/2021, 21:25:00
24.870001,44.214844,55.000000,100,20/3/2021, 21:25:01
24.870001,44.214844,55.000000,100,20/3/2021, 21:25:02
24.870001,43.989258,55.000000,100,20/3/2021, 21:25:03
24.870001,43.989258,55.000000,100,20/3/2021, 21:25:04
24.860001,42.958008,55.000000,100,20/3/2021, 21:25:05
24.870001,42.958008,55.000000,100,20/3/2021, 21:25:06
24.879999,43.022461,55.000000,100,20/3/2021, 21:25:07
24.879999,43.022461,55.000000,100,20/3/2021, 21:25:08
24.879999,45.020508,55.000000,100,20/3/2021, 21:25:09
24.879999,45.020508,55.000000,100,20/3/2021, 21:25:10
24.879999,45.084961,55.000000,100,20/3/2021, 21:25:11
24.870001,45.084961,55.000000,100,20/3/2021, 21:25:12
24.879999,44.504883,55.000000,100,20/3/2021, 21:25:13
24.879999,44.504883,55.000000,100,20/3/2021, 21:25:14
24.879999,45.149414,55.000000,100,20/3/2021, 21:25:15
24.889999,45.149414,55.000000,100,20/3/2021, 21:25:16
24.889999,45.020508,55.000000,100,20/3/2021, 21:25:17
24.889999,45.020508,55.000000,100,20/3/2021, 21:25:18
24.889999,44.440430,55.000000,100,20/3/2021, 21:25:19
24.889999,44.440430,55.000000,100,20/3/2021, 21:25:20
24.889999,44.956055,55.000000,100,20/3/2021, 21:25:21
24.889999,44.956055,55.000000,100,20/3/2021, 21:25:22
24.889999,45.858398,55.000000,100,20/3/2021, 21:25:23
24.889999,45.858398,55.000000,100,20/3/2021, 21:25:24
24.889999,45.020508,55.000000,100,20/3/2021, 21:25:25
24.900000,45.020508,55.000000,100,20/3/2021, 21:25:26
24.900000,45.213867,55.000000,100,20/3/2021, 21:25:27
24.900000,45.213867,55.000000,100,20/3/2021, 21:25:28
24.900000,45.665039,55.000000,100,20/3/2021, 21:25:29
24.900000,45.665039,55.000000,100,20/3/2021, 21:25:30
24.889999,45.600586,55.000000,100,20/3/2021, 21:25:31
24.889999,45.600586,55.000000,100,20/3/2021, 21:25:32
24.889999,45.181641,55.000000,100,20/3/2021, 21:25:33
24.889999,45.181641,55.000000,100,20/3/2021, 21:25:34
24.889999,46.406250,55.000000,100,20/3/2021, 21:25:35
